From	To	Species	Gene Name
AGPAT3	56894	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)
ADD2	119	Homo sapiens	adducin 2(ADD2)
AGPAT4	56895	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
GK5	256356	Homo sapiens	glycerol kinase 5(GK5)
GNG2	54331	Homo sapiens	G protein subunit gamma 2(GNG2)
PABPN1	8106	Homo sapiens	poly(A) binding protein nuclear 1(PABPN1)
MKNK1	8569	Homo sapiens	MAPK interacting serine/threonine kinase 1(MKNK1)
SPOCK2	9806	Homo sapiens	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2(SPOCK2)
GNG7	2788	Homo sapiens	G protein subunit gamma 7(GNG7)
TRA2B	6434	Homo sapiens	transformer 2 beta homolog(TRA2B)
SPOCK3	50859	Homo sapiens	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3(SPOCK3)
MXI1	4601	Homo sapiens	MAX interactor 1, dimerization protein(MXI1)
TRA2A	29896	Homo sapiens	transformer 2 alpha homolog(TRA2A)
MAN1C1	57134	Homo sapiens	mannosidase alpha class 1C member 1(MAN1C1)
SPOCK1	6695	Homo sapiens	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1(SPOCK1)
CASC15	401237	Homo sapiens	cancer susceptibility 15(CASC15)
ARFGEF1	10565	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 1(ARFGEF1)
ATF7IP	55729	Homo sapiens	activating transcription factor 7 interacting protein(ATF7IP)
ARFGEF2	10564	Homo sapiens	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)
EYA3	2140	Homo sapiens	EYA transcriptional coactivator and phosphatase 3(EYA3)
ZNF804B	219578	Homo sapiens	zinc finger protein 804B(ZNF804B)
ZNF804A	91752	Homo sapiens	zinc finger protein 804A(ZNF804A)
SIMC1	375484	Homo sapiens	SUMO interacting motifs containing 1(SIMC1)
KRAS	3845	Homo sapiens	KRAS proto-oncogene, GTPase(KRAS)
SUGT1	10910	Homo sapiens	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone(SUGT1)
SNTB2	6645	Homo sapiens	syntrophin beta 2(SNTB2)
NCKAP1	10787	Homo sapiens	NCK associated protein 1(NCKAP1)
ARHGEF26-AS1	100507524	Homo sapiens	ARHGEF26 antisense RNA 1(ARHGEF26-AS1)
GPATCH2	55105	Homo sapiens	G-patch domain containing 2(GPATCH2)
HNRNPU	3192	Homo sapiens	heterogeneous nuclear ribonucleoprotein U(HNRNPU)
XYLT1	64131	Homo sapiens	xylosyltransferase 1(XYLT1)
HNRNPR	10236	Homo sapiens	heterogeneous nuclear ribonucleoprotein R(HNRNPR)
ADARB1	104	Homo sapiens	adenosine deaminase RNA specific B1(ADARB1)
ADARB2	105	Homo sapiens	adenosine deaminase RNA specific B2 (inactive)(ADARB2)
GPATCH8	23131	Homo sapiens	G-patch domain containing 8(GPATCH8)
GLS	2744	Homo sapiens	glutaminase(GLS)
CSPP1	79848	Homo sapiens	centrosome and spindle pole associated protein 1(CSPP1)
CDK5RAP1	51654	Homo sapiens	CDK5 regulatory subunit associated protein 1(CDK5RAP1)
CEP95	90799	Homo sapiens	centrosomal protein 95(CEP95)
DLEU2	8847	Homo sapiens	deleted in lymphocytic leukemia 2(DLEU2)
CEP97	79598	Homo sapiens	centrosomal protein 97(CEP97)
NCKAP5	344148	Homo sapiens	NCK associated protein 5(NCKAP5)
CDK5RAP2	55755	Homo sapiens	CDK5 regulatory subunit associated protein 2(CDK5RAP2)
DDX17	10521	Homo sapiens	DEAD-box helicase 17(DDX17)
DDX18	8886	Homo sapiens	DEAD-box helicase 18(DDX18)
ATG10	83734	Homo sapiens	autophagy related 10(ATG10)
REV1	51455	Homo sapiens	REV1 DNA directed polymerase(REV1)
FNDC3B	64778	Homo sapiens	fibronectin type III domain containing 3B(FNDC3B)
DDX10	1662	Homo sapiens	DEAD-box helicase 10(DDX10)
FNDC3A	22862	Homo sapiens	fibronectin type III domain containing 3A(FNDC3A)
ATG13	9776	Homo sapiens	autophagy related 13(ATG13)
GABRG3	2567	Homo sapiens	gamma-aminobutyric acid type A receptor subunit gamma3(GABRG3)
ATG12	9140	Homo sapiens	autophagy related 12(ATG12)
GABRG2	2566	Homo sapiens	gamma-aminobutyric acid type A receptor subunit gamma2(GABRG2)
ZC2HC1A	51101	Homo sapiens	zinc finger C2HC-type containing 1A(ZC2HC1A)
MAP1B	4131	Homo sapiens	microtubule associated protein 1B(MAP1B)
MAP1A	4130	Homo sapiens	microtubule associated protein 1A(MAP1A)
ASTN2	23245	Homo sapiens	astrotactin 2(ASTN2)
ZNF398	57541	Homo sapiens	zinc finger protein 398(ZNF398)
ASTN1	460	Homo sapiens	astrotactin 1(ASTN1)
ZNF397	84307	Homo sapiens	zinc finger protein 397(ZNF397)
CTBP2	1488	Homo sapiens	C-terminal binding protein 2(CTBP2)
ANAPC16	119504	Homo sapiens	anaphase promoting complex subunit 16(ANAPC16)
PDXDC1	23042	Homo sapiens	pyridoxal dependent decarboxylase domain containing 1(PDXDC1)
CTBP1	1487	Homo sapiens	C-terminal binding protein 1(CTBP1)
PRKRIP1	79706	Homo sapiens	PRKR interacting protein 1(PRKRIP1)
PHYHIPL	84457	Homo sapiens	phytanoyl-CoA 2-hydroxylase interacting protein like(PHYHIPL)
RNPC3	55599	Homo sapiens	RNA binding region (RNP1, RRM) containing 3(RNPC3)
ANAPC10	10393	Homo sapiens	anaphase promoting complex subunit 10(ANAPC10)
LDHB	3945	Homo sapiens	lactate dehydrogenase B(LDHB)
LDHA	3939	Homo sapiens	lactate dehydrogenase A(LDHA)
FLRT2	23768	Homo sapiens	fibronectin leucine rich transmembrane protein 2(FLRT2)
CEP70	80321	Homo sapiens	centrosomal protein 70(CEP70)
NAA50	80218	Homo sapiens	N-alpha-acetyltransferase 50, NatE catalytic subunit(NAA50)
STARD13	90627	Homo sapiens	StAR related lipid transfer domain containing 13(STARD13)
PHC2	1912	Homo sapiens	polyhomeotic homolog 2(PHC2)
PHC1	1911	Homo sapiens	polyhomeotic homolog 1(PHC1)
ZNF382	84911	Homo sapiens	zinc finger protein 382(ZNF382)
NFATC3	4775	Homo sapiens	nuclear factor of activated T cells 3(NFATC3)
NR1D2	9975	Homo sapiens	nuclear receptor subfamily 1 group D member 2(NR1D2)
PHC3	80012	Homo sapiens	polyhomeotic homolog 3(PHC3)
HNRNPL	3191	Homo sapiens	heterogeneous nuclear ribonucleoprotein L(HNRNPL)
GNPTG	84572	Homo sapiens	N-acetylglucosamine-1-phosphate transferase subunit gamma(GNPTG)
HNRNPM	4670	Homo sapiens	heterogeneous nuclear ribonucleoprotein M(HNRNPM)
HNRNPK	3190	Homo sapiens	heterogeneous nuclear ribonucleoprotein K(HNRNPK)
ZNF37A	7587	Homo sapiens	zinc finger protein 37A(ZNF37A)
TOLLIP	54472	Homo sapiens	toll interacting protein(TOLLIP)
HNRNPD	3184	Homo sapiens	heterogeneous nuclear ribonucleoprotein D(HNRNPD)
MMS19	64210	Homo sapiens	MMS19 homolog, cytosolic iron-sulfur assembly component(MMS19)
HNRNPC	3183	Homo sapiens	heterogeneous nuclear ribonucleoprotein C(HNRNPC)
PAM	5066	Homo sapiens	peptidylglycine alpha-amidating monooxygenase(PAM)
FARSB	10056	Homo sapiens	phenylalanyl-tRNA synthetase subunit beta(FARSB)
CEP89	84902	Homo sapiens	centrosomal protein 89(CEP89)
ATG2B	55102	Homo sapiens	autophagy related 2B(ATG2B)
CEP57	9702	Homo sapiens	centrosomal protein 57(CEP57)
GABRB3	2562	Homo sapiens	gamma-aminobutyric acid type A receptor subunit beta3(GABRB3)
PHF3	23469	Homo sapiens	PHD finger protein 3(PHF3)
GABRB2	2561	Homo sapiens	gamma-aminobutyric acid type A receptor subunit beta2(GABRB2)
GPI	2821	Homo sapiens	glucose-6-phosphate isomerase(GPI)
PYGB	5834	Homo sapiens	glycogen phosphorylase B(PYGB)
GABRB1	2560	Homo sapiens	gamma-aminobutyric acid type A receptor subunit beta1(GABRB1)
NRSN1	140767	Homo sapiens	neurensin 1(NRSN1)
ARPC1A	10552	Homo sapiens	actin related protein 2/3 complex subunit 1A(ARPC1A)
CSAD	51380	Homo sapiens	cysteine sulfinic acid decarboxylase(CSAD)
FARS2	10667	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)
ZNF280D	54816	Homo sapiens	zinc finger protein 280D(ZNF280D)
PEA15	8682	Homo sapiens	proliferation and apoptosis adaptor protein 15(PEA15)
TIMP2	7077	Homo sapiens	TIMP metallopeptidase inhibitor 2(TIMP2)
JARID2	3720	Homo sapiens	jumonji and AT-rich interaction domain containing 2(JARID2)
TEAD1	7003	Homo sapiens	TEA domain transcription factor 1(TEAD1)
ZNF365	22891	Homo sapiens	zinc finger protein 365(ZNF365)
CEP68	23177	Homo sapiens	centrosomal protein 68(CEP68)
GRAMD2B	65983	Homo sapiens	GRAM domain containing 2B(GRAMD2B)
ZNF362	149076	Homo sapiens	zinc finger protein 362(ZNF362)
SHPRH	257218	Homo sapiens	SNF2 histone linker PHD RING helicase(SHPRH)
ELMOD1	55531	Homo sapiens	ELMO domain containing 1(ELMOD1)
ELMOD3	84173	Homo sapiens	ELMO domain containing 3(ELMOD3)
TERF1	7013	Homo sapiens	telomeric repeat binding factor 1(TERF1)
NCOR2	9612	Homo sapiens	nuclear receptor corepressor 2(NCOR2)
HADHB	3032	Homo sapiens	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta(HADHB)
KAT2B	8850	Homo sapiens	lysine acetyltransferase 2B(KAT2B)
ZEB2	9839	Homo sapiens	zinc finger E-box binding homeobox 2(ZEB2)
KAT2A	2648	Homo sapiens	lysine acetyltransferase 2A(KAT2A)
NCOR1	9611	Homo sapiens	nuclear receptor corepressor 1(NCOR1)
ZEB1	6935	Homo sapiens	zinc finger E-box binding homeobox 1(ZEB1)
TUBB2A	7280	Homo sapiens	tubulin beta 2A class IIa(TUBB2A)
HEATR5A	25938	Homo sapiens	HEAT repeat containing 5A(HEATR5A)
AEBP2	121536	Homo sapiens	AE binding protein 2(AEBP2)
HEATR5B	54497	Homo sapiens	HEAT repeat containing 5B(HEATR5B)
CEP63	80254	Homo sapiens	centrosomal protein 63(CEP63)
MGLL	11343	Homo sapiens	monoglyceride lipase(MGLL)
GRAMD1B	57476	Homo sapiens	GRAM domain containing 1B(GRAMD1B)
CDC123	8872	Homo sapiens	cell division cycle 123(CDC123)
NBAS	51594	Homo sapiens	NBAS subunit of NRZ tethering complex(NBAS)
CLDND1	56650	Homo sapiens	claudin domain containing 1(CLDND1)
SGMS1	259230	Homo sapiens	sphingomyelin synthase 1(SGMS1)
RNMT	8731	Homo sapiens	RNA guanine-7 methyltransferase(RNMT)
WDR45B	56270	Homo sapiens	WD repeat domain 45B(WDR45B)
NSD3	54904	Homo sapiens	nuclear receptor binding SET domain protein 3(NSD3)
SCAF8	22828	Homo sapiens	SR-related CTD associated factor 8(SCAF8)
DHRSX	207063	Homo sapiens	dehydrogenase/reductase X-linked(DHRSX)
NSD1	64324	Homo sapiens	nuclear receptor binding SET domain protein 1(NSD1)
NSD2	7468	Homo sapiens	nuclear receptor binding SET domain protein 2(NSD2)
TP53TG5	27296	Homo sapiens	TP53 target 5(TP53TG5)
ZNF346	23567	Homo sapiens	zinc finger protein 346(ZNF346)
ZNF345	25850	Homo sapiens	zinc finger protein 345(ZNF345)
RUNX1T1	862	Homo sapiens	RUNX1 partner transcriptional co-repressor 1(RUNX1T1)
FARP2	9855	Homo sapiens	FERM, ARH/RhoGEF and pleckstrin domain protein 2(FARP2)
GABRA2	2555	Homo sapiens	gamma-aminobutyric acid type A receptor subunit alpha2(GABRA2)
FARP1	10160	Homo sapiens	FERM, ARH/RhoGEF and pleckstrin domain protein 1(FARP1)
GABRA1	2554	Homo sapiens	gamma-aminobutyric acid type A receptor subunit alpha1(GABRA1)
C10orf90	118611	Homo sapiens	chromosome 10 open reading frame 90(C10orf90)
DMTN	2039	Homo sapiens	dematin actin binding protein(DMTN)
GSN	2934	Homo sapiens	gelsolin(GSN)
YTHDF3	253943	Homo sapiens	YTH N6-methyladenosine RNA binding protein F3(YTHDF3)
CSNK1A1	1452	Homo sapiens	casein kinase 1 alpha 1(CSNK1A1)
MGMT	4255	Homo sapiens	O-6-methylguanine-DNA methyltransferase(MGMT)
RNLS	55328	Homo sapiens	renalase, FAD dependent amine oxidase(RNLS)
GABRA4	2557	Homo sapiens	gamma-aminobutyric acid type A receptor subunit alpha4(GABRA4)
GSR	2936	Homo sapiens	glutathione-disulfide reductase(GSR)
TUBB4A	10382	Homo sapiens	tubulin beta 4A class IVa(TUBB4A)
ZNF33B	7582	Homo sapiens	zinc finger protein 33B(ZNF33B)
SLC8A3	6547	Homo sapiens	solute carrier family 8 member A3(SLC8A3)
ZNF33A	7581	Homo sapiens	zinc finger protein 33A(ZNF33A)
MKLN1	4289	Homo sapiens	muskelin 1(MKLN1)
CYP20A1	57404	Homo sapiens	cytochrome P450 family 20 subfamily A member 1(CYP20A1)
NUCB1	4924	Homo sapiens	nucleobindin 1(NUCB1)
NUCB2	4925	Homo sapiens	nucleobindin 2(NUCB2)
ZNF331	55422	Homo sapiens	zinc finger protein 331(ZNF331)
ANKRD13C	81573	Homo sapiens	ankyrin repeat domain 13C(ANKRD13C)
CEP126	57562	Homo sapiens	centrosomal protein 126(CEP126)
RAB3C	115827	Homo sapiens	RAB3C, member RAS oncogene family(RAB3C)
VKORC1L1	154807	Homo sapiens	vitamin K epoxide reductase complex subunit 1 like 1(VKORC1L1)
MTFMT	123263	Homo sapiens	mitochondrial methionyl-tRNA formyltransferase(MTFMT)
OXNAD1	92106	Homo sapiens	oxidoreductase NAD binding domain containing 1(OXNAD1)
ANKRD13D	338692	Homo sapiens	ankyrin repeat domain 13D(ANKRD13D)
RAB3A	5864	Homo sapiens	RAB3A, member RAS oncogene family(RAB3A)
PRORP	9692	Homo sapiens	protein only RNase P catalytic subunit(PRORP)
TMEM131L	23240	Homo sapiens	transmembrane 131 like(TMEM131L)
TM7SF3	51768	Homo sapiens	transmembrane 7 superfamily member 3(TM7SF3)
VIRMA	25962	Homo sapiens	vir like m6A methyltransferase associated(VIRMA)
SLC8A1	6546	Homo sapiens	solute carrier family 8 member A1(SLC8A1)
CDC14B	8555	Homo sapiens	cell division cycle 14B(CDC14B)
CEP128	145508	Homo sapiens	centrosomal protein 128(CEP128)
SLC8A2	6543	Homo sapiens	solute carrier family 8 member A2(SLC8A2)
NRBP2	340371	Homo sapiens	nuclear receptor binding protein 2(NRBP2)
DEPTOR	64798	Homo sapiens	DEP domain containing MTOR interacting protein(DEPTOR)
LAMP1	3916	Homo sapiens	lysosomal associated membrane protein 1(LAMP1)
MPC1	51660	Homo sapiens	mitochondrial pyruvate carrier 1(MPC1)
LAMP2	3920	Homo sapiens	lysosomal associated membrane protein 2(LAMP2)
PAPOLA	10914	Homo sapiens	poly(A) polymerase alpha(PAPOLA)
ZNF326	284695	Homo sapiens	zinc finger protein 326(ZNF326)
PLXNC1	10154	Homo sapiens	plexin C1(PLXNC1)
TXNL4A	10907	Homo sapiens	thioredoxin like 4A(TXNL4A)
MB21D2	151963	Homo sapiens	Mab-21 domain containing 2(MB21D2)
HMGN3	9324	Homo sapiens	high mobility group nucleosomal binding domain 3(HMGN3)
ANKRD13A	88455	Homo sapiens	ankyrin repeat domain 13A(ANKRD13A)
MAGI1	9223	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1(MAGI1)
RAB2A	5862	Homo sapiens	RAB2A, member RAS oncogene family(RAB2A)
TLE4	7091	Homo sapiens	TLE family member 4, transcriptional corepressor(TLE4)
RARS2	57038	Homo sapiens	arginyl-tRNA synthetase 2, mitochondrial(RARS2)
CSNK1G3	1456	Homo sapiens	casein kinase 1 gamma 3(CSNK1G3)
SUPT16H	11198	Homo sapiens	SPT16 homolog, facilitates chromatin remodeling subunit(SUPT16H)
SNRPN	6638	Homo sapiens	small nuclear ribonucleoprotein polypeptide N(SNRPN)
TLE1	7088	Homo sapiens	TLE family member 1, transcriptional corepressor(TLE1)
MAGI3	260425	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 3(MAGI3)
MAGI2	9863	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 2(MAGI2)
FRMD4A	55691	Homo sapiens	FERM domain containing 4A(FRMD4A)
VRK1	7443	Homo sapiens	VRK serine/threonine kinase 1(VRK1)
FRMD4B	23150	Homo sapiens	FERM domain containing 4B(FRMD4B)
VRK2	7444	Homo sapiens	VRK serine/threonine kinase 2(VRK2)
MIR100HG	399959	Homo sapiens	mir-100-let-7a-2-mir-125b-1 cluster host gene(MIR100HG)
TLE5	166	Homo sapiens	TLE family member 5, transcriptional modulator(TLE5)
GOLGA8B	440270	Homo sapiens	golgin A8 family member B(GOLGA8B)
RAB30	27314	Homo sapiens	RAB30, member RAS oncogene family(RAB30)
ILF3	3609	Homo sapiens	interleukin enhancer binding factor 3(ILF3)
KAT6B	23522	Homo sapiens	lysine acetyltransferase 6B(KAT6B)
KAT6A	7994	Homo sapiens	lysine acetyltransferase 6A(KAT6A)
ZNF318	24149	Homo sapiens	zinc finger protein 318(ZNF318)
PGP	283871	Homo sapiens	phosphoglycolate phosphatase(PGP)
PHIP	55023	Homo sapiens	pleckstrin homology domain interacting protein(PHIP)
AAGAB	79719	Homo sapiens	alpha and gamma adaptin binding protein(AAGAB)
SREK1	140890	Homo sapiens	splicing regulatory glutamic acid and lysine rich protein 1(SREK1)
ADNP	23394	Homo sapiens	activity dependent neuroprotector homeobox(ADNP)
LINC00486	285045	Homo sapiens	long intergenic non-protein coding RNA 486(LINC00486)
GOLGA8A	23015	Homo sapiens	golgin A8 family member A(GOLGA8A)
CSNK1G1	53944	Homo sapiens	casein kinase 1 gamma 1(CSNK1G1)
CEP104	9731	Homo sapiens	centrosomal protein 104(CEP104)
BRSK1	84446	Homo sapiens	BR serine/threonine kinase 1(BRSK1)
BRSK2	9024	Homo sapiens	BR serine/threonine kinase 2(BRSK2)
RAB5B	5869	Homo sapiens	RAB5B, member RAS oncogene family(RAB5B)
CBFB	865	Homo sapiens	core-binding factor subunit beta(CBFB)
TTC21B	79809	Homo sapiens	tetratricopeptide repeat domain 21B(TTC21B)
PLXNA2	5362	Homo sapiens	plexin A2(PLXNA2)
CCDC30	728621	Homo sapiens	coiled-coil domain containing 30(CCDC30)
SRGAP3	9901	Homo sapiens	SLIT-ROBO Rho GTPase activating protein 3(SRGAP3)
RAB6A	5870	Homo sapiens	RAB6A, member RAS oncogene family(RAB6A)
SRGAP2	23380	Homo sapiens	SLIT-ROBO Rho GTPase activating protein 2(SRGAP2)
SRGAP1	57522	Homo sapiens	SLIT-ROBO Rho GTPase activating protein 1(SRGAP1)
MPDZ	8777	Homo sapiens	multiple PDZ domain crumbs cell polarity complex component(MPDZ)
RAB6B	51560	Homo sapiens	RAB6B, member RAS oncogene family(RAB6B)
NIFK-AS1	254128	Homo sapiens	NIFK antisense RNA 1(NIFK-AS1)
PLXNA4	91584	Homo sapiens	plexin A4(PLXNA4)
TMEM132D	121256	Homo sapiens	transmembrane protein 132D(TMEM132D)
TMEM132C	92293	Homo sapiens	transmembrane protein 132C(TMEM132C)
EIF2B3	8891	Homo sapiens	eukaryotic translation initiation factor 2B subunit gamma(EIF2B3)
CEP112	201134	Homo sapiens	centrosomal protein 112(CEP112)
RAB4A	5867	Homo sapiens	RAB4A, member RAS oncogene family(RAB4A)
TMEM132B	114795	Homo sapiens	transmembrane protein 132B(TMEM132B)
CCDC14	64770	Homo sapiens	coiled-coil domain containing 14(CCDC14)
PHKB	5257	Homo sapiens	phosphorylase kinase regulatory subunit beta(PHKB)
TRAPPC8	22878	Homo sapiens	trafficking protein particle complex subunit 8(TRAPPC8)
TRAPPC9	83696	Homo sapiens	trafficking protein particle complex subunit 9(TRAPPC9)
NBDY	550643	Homo sapiens	negative regulator of P-body association(NBDY)
FAM217B	63939	Homo sapiens	family with sequence similarity 217 member B(FAM217B)
REEP1	65055	Homo sapiens	receptor accessory protein 1(REEP1)
LRFN2	57497	Homo sapiens	leucine rich repeat and fibronectin type III domain containing 2(LRFN2)
IRAK1BP1	134728	Homo sapiens	interleukin 1 receptor associated kinase 1 binding protein 1(IRAK1BP1)
LRFN5	145581	Homo sapiens	leucine rich repeat and fibronectin type III domain containing 5(LRFN5)
CNIH1	10175	Homo sapiens	cornichon family member 1(CNIH1)
NBEA	26960	Homo sapiens	neurobeachin(NBEA)
NSG2	51617	Homo sapiens	neuronal vesicle trafficking associated 2(NSG2)
P4HA1	5033	Homo sapiens	prolyl 4-hydroxylase subunit alpha 1(P4HA1)
REEP5	7905	Homo sapiens	receptor accessory protein 5(REEP5)
REEP3	221035	Homo sapiens	receptor accessory protein 3(REEP3)
REEP2	51308	Homo sapiens	receptor accessory protein 2(REEP2)
CSPG5	10675	Homo sapiens	chondroitin sulfate proteoglycan 5(CSPG5)
PLEKHM2	23207	Homo sapiens	pleckstrin homology and RUN domain containing M2(PLEKHM2)
CNIH3	149111	Homo sapiens	cornichon family AMPA receptor auxiliary protein 3(CNIH3)
RAB5A	5868	Homo sapiens	RAB5A, member RAS oncogene family(RAB5A)
PLEKHM3	389072	Homo sapiens	pleckstrin homology domain containing M3(PLEKHM3)
DIDO1	11083	Homo sapiens	death inducer-obliterator 1(DIDO1)
AMD1	262	Homo sapiens	adenosylmethionine decarboxylase 1(AMD1)
CEP164	22897	Homo sapiens	centrosomal protein 164(CEP164)
PIK3C2A	5286	Homo sapiens	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha(PIK3C2A)
PIK3C2B	5287	Homo sapiens	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta(PIK3C2B)
SCRN1	9805	Homo sapiens	secernin 1(SCRN1)
AP1G1	164	Homo sapiens	adaptor related protein complex 1 subunit gamma 1(AP1G1)
SNRNP70	6625	Homo sapiens	small nuclear ribonucleoprotein U1 subunit 70(SNRNP70)
TLK2	11011	Homo sapiens	tousled like kinase 2(TLK2)
TLK1	9874	Homo sapiens	tousled like kinase 1(TLK1)
NPIPA1	9284	Homo sapiens	nuclear pore complex interacting protein family member A1(NPIPA1)
CEP170	9859	Homo sapiens	centrosomal protein 170(CEP170)
WDR7	23335	Homo sapiens	WD repeat domain 7(WDR7)
CCDC50	152137	Homo sapiens	coiled-coil domain containing 50(CCDC50)
IDH3A	3419	Homo sapiens	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha(IDH3A)
PLEKHG3	26030	Homo sapiens	pleckstrin homology and RhoGEF domain containing G3(PLEKHG3)
PLEKHG1	57480	Homo sapiens	pleckstrin homology and RhoGEF domain containing G1(PLEKHG1)
SLC13A3	64849	Homo sapiens	solute carrier family 13 member 3(SLC13A3)
HMGCS1	3157	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)
RFC1	5981	Homo sapiens	replication factor C subunit 1(RFC1)
CEMIP2	23670	Homo sapiens	cell migration inducing hyaluronidase 2(CEMIP2)
TRPC1	7220	Homo sapiens	transient receptor potential cation channel subfamily C member 1(TRPC1)
FAAH2	158584	Homo sapiens	fatty acid amide hydrolase 2(FAAH2)
RPL13A	23521	Homo sapiens	ribosomal protein L13a(RPL13A)
FAM219A	203259	Homo sapiens	family with sequence similarity 219 member A(FAM219A)
PKM	5315	Homo sapiens	pyruvate kinase M1/2(PKM)
TFDP1	7027	Homo sapiens	transcription factor Dp-1(TFDP1)
AOPEP	84909	Homo sapiens	aminopeptidase O (putative)(AOPEP)
TFDP2	7029	Homo sapiens	transcription factor Dp-2(TFDP2)
POLR1A	25885	Homo sapiens	RNA polymerase I subunit A(POLR1A)
LURAP1L-AS1	101929467	Homo sapiens	LURAP1L antisense RNA 1(LURAP1L-AS1)
NOS1AP	9722	Homo sapiens	nitric oxide synthase 1 adaptor protein(NOS1AP)
RAB1A	5861	Homo sapiens	RAB1A, member RAS oncogene family(RAB1A)
CATSPER2	117155	Homo sapiens	cation channel sperm associated 2(CATSPER2)
NUFIP2	57532	Homo sapiens	nuclear FMR1 interacting protein 2(NUFIP2)
DENND3	22898	Homo sapiens	DENN domain containing 3(DENND3)
NSL1	25936	Homo sapiens	NSL1 component of MIS12 kinetochore complex(NSL1)
LMF1	64788	Homo sapiens	lipase maturation factor 1(LMF1)
FBXL20	84961	Homo sapiens	F-box and leucine rich repeat protein 20(FBXL20)
RAB21	23011	Homo sapiens	RAB21, member RAS oncogene family(RAB21)
POLR2A	5430	Homo sapiens	RNA polymerase II subunit A(POLR2A)
FIP1L1	81608	Homo sapiens	factor interacting with PAPOLA and CPSF1(FIP1L1)
POLR2B	5431	Homo sapiens	RNA polymerase II subunit B(POLR2B)
POLR2F	5435	Homo sapiens	RNA polymerase II, I and III subunit F(POLR2F)
